"","Código do Município","Município","Estado","Ano de Referência","Código do Prestador","Prestador","Sigla do Prestador","Abrangência","Tipo de Serviço","Natureza Jurídica","G05A - Quantidade total de municípios atendidos com abastecimento de água","G05B - Quantidade total de municípios atendidos com esgotamento sanitário","G06A - População urbana residente do(s) município(s) com abastecimento de água","G06B - População urbana residente do(s) município(s) com esgotamento sanitário","G12A - População total residente do(s) município(s) com abastecimento de água, segundo o IBGE","G12B - População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE","GE001 - Quantidade de municípios atendidos com abastecimento de água com delegação em vigor","GE002 - Quantidade de municípios atendidos com abastecimento de água com delegação vencida","GE003 - Quantidade de municípios atendidos com abastecimento de água sem delegação","GE005 - Quantidade total de municípios atendidos","GE008 - Quantidade de Sedes municipais atendidas com abastecimento de água","GE009 - Quantidade de Sedes municipais atendidas com esgotamento sanitário","GE010 - Quantidade de Localidades (excluídas as sedes) atendidas com abastecimento de água","GE011 - Quantidade de Localidades (excluídas as sedes) atendidas com esgotamento sanitário","GE014 - Quantidade de municípios atendidos com esgotamento sanitário com delegação em vigor","GE015 - Quantidade de municípios atendidos com esgotamento sanitário com delegação vencida","GE016 - Quantidade de municípios atendidos com esgotamento sanitário sem delegação","GE017 - Ano de vencimento da delegação de abastecimento de água","GE018 - Ano de vencimento da delegação de esgotamento sanitário","GE025 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação em vigor","GE026 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação vencida para prestar esses serviços","GE028 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação em vigor para prestar esses serviços","GE029 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação vencida para prestar esses serviços"
"28",120040,"Rio Branco","AC",2009,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",19,NA,198608,NA,362863,NA,15,0,4,19,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",120040,"Rio Branco","AC",2009,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,283706,283706,305954,305954,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",120040,"Rio Branco","AC",2008,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",20,NA,195736,NA,357093,NA,NA,NA,NA,20,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",120040,"Rio Branco","AC",2008,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,279482,279482,301398,301398,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",120040,"Rio Branco","AC",2007,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,269505,269505,290639,290639,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",120040,"Rio Branco","AC",2007,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",20,NA,192466,NA,356576,NA,NA,NA,NA,20,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",120040,"Rio Branco","AC",2006,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",19,NA,172672,NA,357685,NA,NA,NA,NA,19,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",120040,"Rio Branco","AC",2006,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,280908,280908,314127,314127,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",120040,"Rio Branco","AC",2005,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,273400,273400,305731,305731,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",120040,"Rio Branco","AC",2005,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",18,0,167688,NA,344614,NA,NA,NA,NA,18,18,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",120040,"Rio Branco","AC",2004,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,255829,255829,286082,286082,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",120040,"Rio Branco","AC",2004,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",17,0,155224,NA,320263,NA,NA,NA,NA,18,17,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",120040,"Rio Branco","AC",2003,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",20,NA,151619,NA,317500,NA,NA,NA,NA,20,20,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",120040,"Rio Branco","AC",2003,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,245521,245521,274555,274555,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",120040,"Rio Branco","AC",2002,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",18,NA,151657,NA,301016,NA,NA,NA,NA,18,18,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",120040,"Rio Branco","AC",2002,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,226298,226298,267740,267740,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",120040,"Rio Branco","AC",2001,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",15,0,147004,NA,280466,NA,NA,NA,NA,NA,15,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",120040,"Rio Branco","AC",2001,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,226054,226054,261430,261430,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",120040,"Rio Branco","AC",2000,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",NA,NA,135151,NA,272404,NA,NA,NA,NA,15,15,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",120040,"Rio Branco","AC",2000,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",NA,NA,226054,226054,253059,253059,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",120040,"Rio Branco","AC",1999,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",NA,NA,107689,NA,236899,NA,NA,NA,NA,15,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",120040,"Rio Branco","AC",1998,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,219036,219036,249930,249930,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",120040,"Rio Branco","AC",1998,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",NA,NA,99114,0,211955,0,NA,NA,NA,14,14,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",120040,"Rio Branco","AC",1997,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,239208,NA,240389,240389,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",120040,"Rio Branco","AC",1995,12004099,"Companhia de Saneamento do Estado do Acre","SANACRE","Regional","Água e Esgoto","Sociedade de economia mista com administração pública",NA,NA,321000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",120042,"Rodrigues Alves","AC",2014,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,0,4941,NA,16475,NA,NA,NA,NA,1,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",120042,"Rodrigues Alves","AC",2013,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,0,4789,NA,15968,NA,NA,NA,NA,1,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",120042,"Rodrigues Alves","AC",2012,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,0,4576,NA,15260,NA,NA,NA,NA,1,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",120042,"Rodrigues Alves","AC",2011,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,0,4448,NA,14832,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",120042,"Rodrigues Alves","AC",2010,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,NA,4315,NA,14389,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",120042,"Rodrigues Alves","AC",2008,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,NA,3849,NA,13020,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",120042,"Rodrigues Alves","AC",2006,12004211,"Prefeitura Municipal de Rodrigues Alves","PMRA","Local","Água","Administração pública direta",1,NA,3249,NA,9989,NA,NA,NA,NA,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",270010,"Água Branca","AL",2017,27001011,"Prefeitura Municipal de Água Branca","PMAB","Local","Esgoto","Administração pública direta",0,1,5388,5388,20467,20467,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",270010,"Água Branca","AL",2016,27001011,"Prefeitura Municipal de Água Branca","PMAB","Local","Esgoto","Administração pública direta",0,1,5376,5376,20422,20422,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",270030,"Arapiraca","AL",2015,27003011,"Prefeitura Municipal de Arapiraca","PMA","Local","Esgoto","Administração pública direta",0,1,195937,195937,231053,231053,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",270030,"Arapiraca","AL",2014,27003011,"Prefeitura Municipal de Arapiraca","PMA","Local","Esgoto","Administração pública direta",0,1,194475,194475,229329,229329,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",270030,"Arapiraca","AL",2013,27003011,"Prefeitura Municipal de Arapiraca","PMA","Local","Esgoto","Administração pública direta",0,1,193043,193043,227640,227640,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",270030,"Arapiraca","AL",2012,27003011,"Prefeitura Municipal de Arapiraca","PMA","Local","Esgoto","Administração pública direta",0,1,184987,184987,218140,218140,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",270040,"Atalaia","AL",2007,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,24794,NA,50323,NA,NA,NA,NA,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",270040,"Atalaia","AL",2006,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,18600,NA,42022,NA,NA,NA,NA,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",270040,"Atalaia","AL",2004,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,18400,NA,41572,NA,NA,NA,NA,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",270040,"Atalaia","AL",2003,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,18220,NA,41165,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",270040,"Atalaia","AL",2002,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,21000,NA,40970,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",270040,"Atalaia","AL",2001,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,19839,0,40725,NA,NA,NA,NA,NA,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",270040,"Atalaia","AL",2000,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",NA,NA,17889,0,40552,0,NA,NA,NA,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",270040,"Atalaia","AL",1999,27004011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16932,0,34741,0,NA,NA,NA,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",270050,"Barra de Santo Antônio","AL",2013,27005011,"Prefeitura Municipal de Barra de Santo Antonio","PMBSA","Local","Água","Administração pública direta",1,NA,14309,NA,15377,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",270060,"Barra de São Miguel","AL",2012,27006011,"Prefeitura Municipal de Barra de São Miguel","PMBSM","Local","Esgoto","Administração pública direta",0,1,6677,6677,7755,7755,NA,NA,NA,1,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",270100,"Boca da Mata","AL",2017,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,18678,NA,27590,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",270100,"Boca da Mata","AL",2016,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,18616,NA,27498,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",270100,"Boca da Mata","AL",2015,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,18549,NA,27399,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",270100,"Boca da Mata","AL",2014,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,18404,NA,27185,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",270100,"Boca da Mata","AL",2013,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,18329,NA,27074,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",270100,"Boca da Mata","AL",2012,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,17608,NA,26010,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",270100,"Boca da Mata","AL",2010,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,0,17450,NA,25776,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",270100,"Boca da Mata","AL",2009,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,17076,NA,26030,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",270100,"Boca da Mata","AL",2007,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16495,NA,25145,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",270100,"Boca da Mata","AL",2006,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16374,NA,25734,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",270100,"Boca da Mata","AL",2005,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16228,NA,25504,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",270100,"Boca da Mata","AL",2004,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16081,NA,25273,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",270100,"Boca da Mata","AL",2003,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,15815,NA,24855,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",270100,"Boca da Mata","AL",2002,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,18000,NA,24656,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",270100,"Boca da Mata","AL",2001,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,NA,0,24461,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",270100,"Boca da Mata","AL",2000,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",NA,NA,15412,0,24227,0,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",270100,"Boca da Mata","AL",1999,27010011,"Serviço Autônomo de Água e Esgoto","SAAE","Local","Água","Autarquia",1,NA,16385,0,21946,0,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",270110,"Branquinha","AL",2008,27011011,"Prefeitura Municipal de Branquinha","PMB","Local","Água","Administração pública direta",1,NA,7030,NA,12142,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",270110,"Branquinha","AL",2007,27011011,"Prefeitura Municipal de Branquinha","PMB","Local","Água","Administração pública direta",1,NA,6830,NA,11796,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",270110,"Branquinha","AL",2006,27011011,"Prefeitura Municipal de Branquinha","PMB","Local","Água","Administração pública direta",1,NA,7048,NA,13557,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
